family,group,exp,model,method,variant,train_len,eval_len,step,benchmark,pass@1,pass@4,pass@8,pass@32
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,50,livecodebench_v6,0.13214285714285715,0.18465306122448982,0.21142857142857144,
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,50,aime2024,0.24583333333333332,,,0.7333333333333333
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,50,aime2025,0.22916666666666666,,,0.5666666666666667
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,80,livecodebench_v5,0.14516129032258066,0.22396313364055298,0.25448028673835127,
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,80,livecodebench_v6,0.12071428571428572,0.16816326530612247,0.18857142857142858,
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,80,aime2024,0.20729166666666668,,,0.7
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,80,aime2025,0.18854166666666666,,,0.5
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,105,livecodebench_v5,0.13754480286738352,0.2023041474654378,0.23297491039426524,
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,105,livecodebench_v6,0.1357142857142857,0.1855510204081633,0.21142857142857144,
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,105,aime2024,0.17083333333333334,,,0.5666666666666667
1.5B main,r1-1.5b-16k,tok,r1-1.5b,token_entropy,none,16384,16384,105,aime2025,0.18854166666666666,,,0.4666666666666667
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,20,livecodebench_v5,0.16621863799283154,0.26313364055299543,0.3118279569892473,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,20,livecodebench_v6,0.13357142857142856,0.18040816326530612,0.2057142857142857,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,20,aime2024,0.2677083333333333,,,0.7333333333333333
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,20,aime2025,0.2375,,,0.5666666666666667
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,50,livecodebench_v5,0.16442652329749105,0.25463389656938046,0.2903225806451613,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,50,livecodebench_v6,0.12642857142857142,0.17665306122448982,0.19428571428571428,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,50,aime2024,0.25,,,0.7
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,50,aime2025,0.221875,,,0.4666666666666667
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,80,livecodebench_v5,0.14650537634408603,0.22089093701996929,0.25089605734767023,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,80,livecodebench_v6,0.12285714285714286,0.1676734693877551,0.18285714285714286,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,80,aime2024,0.20208333333333334,,,0.6333333333333333
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,80,aime2025,0.19375,,,0.4666666666666667
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,105,livecodebench_v5,0.12992831541218638,0.21423451100870455,0.25806451612903225,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,105,livecodebench_v6,0.11928571428571429,0.1794285714285714,0.22285714285714286,
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,105,aime2024,0.196875,,,0.6666666666666666
1.5B main,r1-1.5b-16k,traj,r1-1.5b,trajectory_entropy,none,16384,16384,105,aime2025,0.17083333333333334,,,0.5
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,20,livecodebench_v5,0.17069892473118278,0.2679979518689196,0.3225806451612903,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,20,livecodebench_v6,0.135,0.18653061224489795,0.21142857142857144,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,20,aime2024,0.29375,,,0.7333333333333333
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,20,aime2025,0.23020833333333332,,,0.5333333333333333
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,50,livecodebench_v5,0.15994623655913978,0.25565796210957503,0.3046594982078853,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,50,livecodebench_v6,0.13428571428571429,0.18751020408163266,0.2057142857142857,
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,50,aime2024,0.23958333333333334,,,0.7
1.5B main,r1-1.5b-16k,prob,r1-1.5b,prob_disparity,none,16384,16384,50,aime2025,0.21770833333333334,,,0.5
